Date,regime,ma_20,ma_50
1997-03-14,1,802.973501586914,785.8564013671875
1997-03-17,1,802.3350036621093,786.8100012207032
1997-03-18,1,801.0035034179688,787.6502001953126
1997-03-19,1,799.6675048828125,788.3010009765625
1997-03-20,1,798.6600067138672,788.9858020019532
1997-03-21,1,797.7765045166016,789.5708020019531
1997-03-24,1,796.8070037841796,790.1986022949219
1997-03-25,1,795.6590026855469,790.7898022460937
1997-03-26,1,794.9000030517578,791.2226025390624
1997-03-27,1,793.8405029296875,791.3562023925781
1997-03-31,1,792.1555023193359,791.1036022949219
1997-04-01,0,790.3720031738281,790.7730029296876
1997-04-02,0,788.3300018310547,790.2412023925781
1997-04-03,0,785.7465026855468,789.593203125
1997-04-04,0,783.7135040283204,789.0266040039063
1997-04-07,0,781.5715057373047,788.7180041503906
1997-04-08,0,779.1950042724609,788.6300036621094
1997-04-09,0,776.6580017089843,788.5416027832031
1997-04-10,0,774.3620025634766,788.4080029296875
1997-04-11,0,771.76650390625,787.7110034179688
1997-04-14,0,769.2945037841797,786.9022033691406
1997-04-15,0,767.2450012207031,786.2734033203125
1997-04-16,0,765.9385040283203,785.809404296875
1997-04-17,0,764.7385040283203,785.2596044921875
1997-04-18,0,763.9230041503906,785.0208044433593
1997-04-21,0,762.7365051269531,784.6252038574219
1997-04-22,0,761.9225036621094,784.3262036132812
1997-04-23,0,761.1510040283204,784.0904040527344
1997-04-24,0,760.1850036621094,783.7222033691406
1997-04-25,0,759.7595031738281,782.9742028808594
1997-04-28,0,760.5515045166015,782.1970031738281
1997-04-29,0,762.2720031738281,781.9084033203125
1997-04-30,0,764.8335052490235,781.609404296875
1997-05-01,0,767.2440063476563,781.330205078125
1997-05-02,0,769.9975036621094,781.5336047363281
1997-05-05,0,773.4055023193359,782.10400390625
1997-05-06,0,776.4875030517578,782.453603515625
1997-05-07,0,779.2385040283203,782.5254028320312
1997-05-08,0,782.3345031738281,782.8170031738281
1997-05-09,1,786.6910034179688,783.4112036132813
1997-05-12,1,791.3875030517578,784.3480029296875
1997-05-13,1,795.3080047607422,785.1044030761718
1997-05-14,1,798.9335021972656,786.0062023925781
1997-05-15,1,802.9390014648437,786.8040026855468
1997-05-16,1,806.1095001220704,787.427802734375
1997-05-19,1,809.7545013427734,787.9938037109375
1997-05-20,1,813.1070007324219,788.5540026855468
1997-05-21,1,816.3924987792968,789.1142016601563
1997-05-22,1,819.6164978027343,789.7422009277344
1997-05-23,1,823.6994995117187,790.8916015625
1997-05-27,1,827.5369995117187,792.02240234375
1997-05-28,1,830.1950012207031,793.05240234375
1997-05-29,1,832.3320007324219,794.1408032226562
1997-05-30,1,834.8195007324218,795.3910034179687
1997-06-02,1,836.4890014648438,796.6652026367187
1997-06-03,1,837.248501586914,797.892802734375
1997-06-04,1,837.866000366211,798.8772021484375
1997-06-05,1,839.2565002441406,799.9644018554687
1997-06-06,1,841.1440002441407,801.3146020507812
1997-06-09,1,843.0504974365234,803.0952014160156
1997-06-10,1,844.4309997558594,805.2582019042969
1997-06-11,1,846.2529998779297,807.4568017578125
1997-06-12,1,848.6240020751953,810.1238024902344
1997-06-13,1,851.1935028076172,812.982802734375
1997-06-16,1,854.4010040283204,815.702802734375
1997-06-17,1,857.4585021972656,818.3486022949219
1997-06-18,1,859.8285034179687,820.80740234375
1997-06-19,1,862.7605041503906,823.5552026367187
1997-06-20,1,865.9125061035156,826.36240234375
1997-06-23,1,867.4920043945312,829.1818017578125
1997-06-24,1,869.8235046386719,832.2340026855469
1997-06-25,1,871.9125030517578,834.9194030761719
1997-06-26,1,873.8925018310547,837.32240234375
1997-06-27,1,875.8434997558594,839.8330017089844
1997-06-30,1,877.7825012207031,842.2090014648437
1997-07-01,1,880.0600036621094,844.8222021484376
1997-07-02,1,883.256005859375,847.4106030273438
1997-07-03,1,886.9305053710938,850.2762023925782
1997-07-07,1,889.640005493164,853.0966027832031
1997-07-08,1,892.4320068359375,856.1642028808594
1997-07-09,1,894.5455047607422,858.8558020019532
1997-07-10,1,896.756005859375,861.2504028320312
1997-07-11,1,898.4170043945312,863.5572021484375
1997-07-14,1,899.6725036621094,865.9542016601563
1997-07-15,1,901.2655029296875,868.2100024414062
1997-07-16,1,903.3740051269531,870.3360034179688
1997-07-17,1,905.5015045166016,872.4130029296875
1997-07-18,1,906.3670043945312,874.4066027832031
1997-07-21,1,907.07900390625,876.2602026367188
1997-07-22,1,909.8470031738282,878.4442016601563
1997-07-23,1,911.8580017089844,880.4222021484375
1997-07-24,1,914.4235015869141,882.5656018066406
1997-07-25,1,917.1790008544922,884.6206018066406
1997-07-28,1,919.6365020751953,886.512001953125
1997-07-29,1,922.4940002441406,888.7628015136719
1997-07-30,1,925.556997680664,891.1432006835937
1997-07-31,1,928.07099609375,893.396201171875
1997-08-01,1,929.581997680664,895.552001953125
1997-08-04,1,931.4869964599609,897.8448022460938
1997-08-05,1,933.1679962158203,899.9516015625
1997-08-06,1,935.806997680664,902.1638012695313
1997-08-07,1,937.6774963378906,904.2434008789063
1997-08-08,1,938.5204956054688,906.0326000976562
1997-08-11,1,939.4514953613282,907.8069995117188
1997-08-12,1,939.4899963378906,909.410400390625
1997-08-13,1,938.7614959716797,910.941201171875
1997-08-14,1,938.4194976806641,912.6344018554687
1997-08-15,1,937.6949981689453,913.782001953125
1997-08-18,1,937.6724975585937,914.8716015625
1997-08-19,1,937.2739990234375,916.1336022949218
1997-08-20,1,937.4134979248047,917.6152014160157
1997-08-21,1,936.6509979248046,918.7248010253907
1997-08-22,1,935.8884979248047,919.5264001464843
1997-08-25,1,935.0739959716797,920.06419921875
1997-08-26,1,933.610498046875,920.4465991210938
1997-08-27,1,931.6809997558594,920.8321997070312
1997-08-28,1,929.1489990234375,921.1243994140625
1997-08-29,1,926.7654968261719,921.1539990234374
1997-09-02,1,925.6294982910156,921.7315991210937
1997-09-03,1,924.4039978027344,922.7163989257813
1997-09-04,0,922.9314971923828,923.4069982910156
1997-09-05,0,921.824496459961,924.2081982421874
1997-09-08,0,921.7074981689453,925.1585986328125
1997-09-09,0,921.5384979248047,926.0849987792968
1997-09-10,0,921.1634979248047,926.7627990722656
1997-09-11,0,920.6919982910156,927.1939990234375
1997-09-12,0,920.6489959716797,927.5915979003906
1997-09-15,0,921.5969970703125,927.6485986328125
1997-09-16,0,923.2544982910156,928.3173986816406
1997-09-17,0,924.1039978027344,928.8023986816406
1997-09-18,0,924.5009979248047,929.5973986816406
1997-09-19,0,925.7739990234375,930.3319982910157
1997-09-22,0,927.3684997558594,931.1069982910157
1997-09-23,0,928.9570007324219,931.777998046875
1997-09-24,0,930.5299987792969,932.1523974609376
1997-09-25,0,931.7404968261719,932.1787963867188
1997-09-26,1,933.8179962158204,932.45099609375
1997-09-29,1,936.5114990234375,933.211796875
1997-09-30,1,937.4964996337891,933.8985974121093
1997-10-01,1,938.8739990234375,934.327197265625
1997-10-02,1,940.3535003662109,934.8051977539062
1997-10-03,1,942.1525024414062,935.2997985839844
1997-10-06,1,944.227001953125,935.9777990722656
1997-10-07,1,946.702001953125,936.9111987304688
1997-10-08,1,949.4425018310546,937.5421997070313
1997-10-09,1,952.3440002441406,937.9088000488281
1997-10-10,1,954.4975006103516,938.1621997070313
1997-10-13,1,956.9139984130859,938.5813989257813
1997-10-14,1,958.1459991455079,938.9809997558593
1997-10-15,1,959.2819976806641,939.2479992675782
1997-10-16,1,959.6799987792969,939.1465991210938
1997-10-17,1,959.3624969482422,939.0059985351562
1997-10-20,1,959.3714965820312,939.4473986816406
1997-10-21,1,960.3889984130859,940.1529992675781
1997-10-22,1,961.5894989013672,940.9921984863281
1997-10-23,1,962.2285003662109,941.5655981445312
1997-10-24,1,962.0495025634766,941.902998046875
1997-10-27,1,958.2320007324219,941.4265979003907
1997-10-28,1,956.960498046875,941.6137976074219
1997-10-29,1,955.147998046875,941.476796875
1997-10-30,1,952.3089965820312,940.7633972167969
1997-10-31,1,949.7884948730468,940.5547973632813
1997-11-03,1,948.1034942626953,940.8637976074219
1997-11-04,1,945.9854949951172,941.2757983398437
1997-11-05,1,944.431494140625,941.8705981445313
1997-11-06,1,942.8019958496094,942.3571984863281
1997-11-07,0,940.8284973144531,942.8339990234375
1997-11-10,0,938.4799987792969,943.2671997070313
1997-11-11,0,936.1549987792969,943.1911999511718
1997-11-12,0,933.1670013427735,942.7532006835937
1997-11-13,0,931.2375,942.4690002441406
1997-11-14,0,930.4470001220703,942.455
1997-11-17,0,929.9765014648438,942.755
1997-11-18,0,928.2739990234375,942.8471997070312
1997-11-19,0,927.0790008544922,943.3583996582031
1997-11-20,0,927.4934997558594,944.2861987304688
1997-11-21,0,928.5660003662109,945.0697998046875
1997-11-24,0,932.05,945.6077990722656
1997-11-25,0,933.498501586914,945.7113989257813
1997-11-26,0,935.1225036621094,945.88419921875
1997-11-28,0,937.7085052490235,946.0464001464844
1997-12-01,0,940.7160064697266,946.5316003417969
1997-12-02,0,942.3505065917968,946.8566003417968
1997-12-03,0,944.1510070800781,947.3534008789062
1997-12-04,0,945.6680053710937,947.92580078125
1997-12-05,0,947.9560028076172,948.8434008789062
1997-12-08,1,950.6990020751953,949.5864013671875
1997-12-09,1,953.4315032958984,950.0352014160156
1997-12-10,1,955.7320007324219,950.485400390625
1997-12-11,1,958.1809997558594,950.4760009765625
1997-12-12,1,960.0175018310547,950.3346008300781
1997-12-15,1,961.7695037841797,950.3018005371093
1997-12-16,1,962.8615020751953,950.2088000488282
1997-12-17,1,964.227001953125,949.8571997070312
1997-12-18,1,964.7625,949.4863989257813
1997-12-19,1,964.1525024414062,949.009599609375
1997-12-22,1,963.6830017089844,948.7440002441406
1997-12-23,1,963.3060028076172,948.1646008300781
1997-12-24,1,962.4000030517578,947.4130004882812
1997-12-26,1,961.6410034179687,946.8278015136718
1997-12-29,1,961.5385009765625,946.7898010253906
1997-12-30,1,961.3420013427734,947.3234020996093
1997-12-31,1,961.2795013427734,947.6198022460937
1998-01-02,1,961.1929992675781,947.6750012207032
1998-01-05,1,961.3915008544922,947.8466015625
1998-01-06,1,960.5310028076171,948.1644018554688
1998-01-07,1,959.6125030517578,948.6116015625
1998-01-08,1,958.6260009765625,950.1928015136718
1998-01-09,1,956.5210021972656,950.3096020507812
1998-01-12,1,955.7345031738281,950.7106030273437
1998-01-13,1,955.6710021972656,951.6794030761719
1998-01-14,1,955.3985015869141,952.5458032226562
1998-01-15,1,954.5330017089843,952.7806030273438
1998-01-16,1,954.3315032958984,953.1956030273437
1998-01-20,1,955.4965026855468,953.91240234375
1998-01-21,1,956.6980010986329,954.5680017089844
1998-01-22,1,957.1649993896484,955.2786010742187
1998-01-23,1,958.0880004882813,956.0078015136719
1998-01-26,1,959.3005004882813,956.671201171875
1998-01-27,1,960.928500366211,957.9324011230469
1998-01-28,1,962.1340026855469,959.1484020996094
1998-01-29,1,962.8665008544922,960.2912023925782
1998-01-30,1,963.3590026855469,960.972802734375
1998-02-02,1,964.6705047607422,962.233603515625
1998-02-03,1,966.1170043945312,963.4618029785156
1998-02-04,1,968.1330047607422,964.4202038574218
1998-02-05,1,970.1100036621094,965.2292028808594
1998-02-06,1,972.9305053710938,966.5450036621094
1998-02-09,1,977.0830047607421,967.7434033203125
1998-02-10,1,981.0730041503906,969.0908032226563
1998-02-11,1,984.4675048828125,970.3830029296874
1998-02-12,1,987.7775054931641,971.3704028320312
1998-02-13,1,991.2455078125,972.338603515625
1998-02-17,1,994.3080078125,973.2584033203125
1998-02-18,1,996.9820068359375,974.4380029296875
1998-02-19,1,999.8555084228516,975.3278039550781
1998-02-20,1,1003.4140075683594,976.3646032714844
1998-02-23,1,1007.4415069580078,977.6118029785156
1998-02-24,1,1011.1220092773438,978.8272045898437
1998-02-25,1,1014.8160095214844,980.5864050292969
1998-02-26,1,1018.3765106201172,982.4920056152343
1998-02-27,1,1021.5690093994141,984.2110046386719
1998-03-02,1,1024.940005493164,985.8042041015625
1998-03-03,1,1027.477505493164,987.5338049316406
1998-03-04,1,1029.5440032958984,989.374404296875
1998-03-05,1,1030.9515045166015,991.1398046875
1998-03-06,1,1033.5590026855468,993.1796032714843
1998-03-09,1,1035.5515045166017,995.4432043457032
1998-03-10,1,1038.2270050048828,998.0742041015625
1998-03-11,1,1040.700003051758,1000.7144030761718
1998-03-12,1,1043.195504760742,1003.0458044433594
1998-03-13,1,1045.4190032958984,1005.0012036132813
1998-03-16,1,1048.3780029296875,1007.1780041503906
1998-03-17,1,1051.2625,1009.2862036132813
1998-03-18,1,1053.934503173828,1011.4552038574219
1998-03-19,1,1057.007501220703,1013.9184033203124
1998-03-20,1,1060.2550048828125,1016.6216040039062
1998-03-23,1,1063.125506591797,1019.4116052246094
1998-03-24,1,1066.8800048828125,1022.9708056640625
1998-03-25,1,1069.8315063476562,1026.2252062988282
1998-03-26,1,1072.438006591797,1029.198807373047
1998-03-27,1,1074.7430053710937,1031.9488061523436
1998-03-30,1,1077.0380065917968,1034.8062060546874
1998-03-31,1,1079.5245056152344,1037.611005859375
1998-04-01,1,1082.5655090332032,1040.2020068359375
1998-04-02,1,1086.8135070800781,1043.186007080078
1998-04-03,1,1090.1640075683595,1046.3792065429689
1998-04-06,1,1093.6175048828125,1049.6550061035157
1998-04-07,1,1095.8825073242188,1052.7070068359376
1998-04-08,1,1097.5415100097657,1055.3596069335938
1998-04-09,1,1099.5790100097656,1058.0238073730468
1998-04-13,1,1101.6330078125,1060.5078063964843
1998-04-14,1,1103.4570068359376,1063.2172058105468
1998-04-15,1,1105.4005065917968,1065.5782043457032
1998-04-16,1,1106.5330078125,1067.6216052246093
1998-04-17,1,1108.1820068359375,1069.9380041503907
1998-04-20,1,1109.4065063476562,1072.340205078125
1998-04-21,1,1110.9625061035156,1074.6244055175782
1998-04-22,1,1112.2070068359376,1077.0204064941406
1998-04-23,1,1113.089501953125,1079.031805419922
1998-04-24,1,1113.4445007324218,1080.7896057128905
1998-04-27,1,1112.9995056152343,1082.037606201172
1998-04-28,1,1112.5750061035155,1083.3380053710937
1998-04-29,1,1112.218505859375,1084.775205078125
1998-04-30,1,1112.398504638672,1086.3686059570311
1998-05-01,1,1112.4480041503907,1088.2230053710937
1998-05-04,1,1112.41650390625,1089.980205078125
1998-05-05,1,1112.1225036621095,1091.5274047851562
1998-05-06,1,1111.8910034179687,1093.0146044921876
1998-05-07,1,1111.5655029296875,1094.059404296875
1998-05-08,1,1111.4390014648438,1095.2488037109374
1998-05-11,1,1111.2865051269532,1096.3948046875
1998-05-12,1,1111.288507080078,1097.7566064453124
1998-05-13,1,1111.2655090332032,1099.0934057617187
1998-05-14,1,1111.7255065917968,1100.4942065429686
1998-05-15,1,1111.0260070800782,1101.9678051757812
1998-05-18,1,1110.134503173828,1102.9704052734376
1998-05-19,1,1109.277001953125,1104.1146044921875
1998-05-20,1,1108.7030029296875,1105.2108056640625
1998-05-21,1,1108.456005859375,1106.1342065429687
1998-05-22,1,1108.5845031738281,1106.945205078125
1998-05-26,1,1108.9585021972657,1107.4534057617188
1998-05-27,1,1109.314501953125,1107.7126049804688
1998-05-28,1,1109.4635009765625,1108.05560546875
1998-05-29,1,1108.4169982910157,1108.1616040039062
1998-06-01,0,1106.915997314453,1108.1864038085937
1998-06-02,0,1105.4734985351563,1108.0676025390626
1998-06-03,0,1103.8349975585938,1107.811201171875
1998-06-04,0,1103.3304931640625,1107.5947998046875
1998-06-05,0,1104.2664916992187,1107.8333984375
1998-06-08,0,1104.645489501953,1108.131796875
1998-06-09,0,1105.2339904785156,1108.5911987304687
1998-06-10,0,1105.0584899902344,1108.9647998046876
1998-06-11,0,1103.8444885253907,1108.8213989257813
1998-06-12,0,1102.917987060547,1108.6351977539061
1998-06-15,0,1101.3319885253907,1107.7751977539062
1998-06-16,0,1100.4204895019532,1107.072998046875
1998-06-17,0,1100.2999877929688,1106.78759765625
1998-06-18,0,1099.6654846191407,1106.7239965820313
1998-06-19,0,1098.9659851074218,1106.7039965820313
1998-06-22,0,1098.6029846191407,1106.554794921875
1998-06-23,0,1099.876483154297,1106.7507958984374
1998-06-24,0,1101.908984375,1107.0933959960937
1998-06-25,0,1103.492987060547,1107.29259765625
1998-06-26,0,1105.6119873046875,1107.7931958007812
1998-06-29,0,1107.9874877929688,1108.1085961914061
1998-06-30,1,1110.018487548828,1108.3123950195313
1998-07-01,1,1113.309991455078,1108.7501953125
1998-07-02,1,1115.8894958496094,1109.0677954101564
1998-07-06,1,1118.0629943847657,1109.8227954101562
1998-07-07,1,1120.0099975585938,1110.7579956054688
1998-07-08,1,1122.40849609375,1112.354794921875
1998-07-09,1,1124.7224975585937,1113.8237963867186
1998-07-10,1,1128.2099975585938,1115.2179956054688
1998-07-13,1,1131.5274963378906,1116.2867944335937
1998-07-14,1,1136.5559936523437,1117.4183935546876
1998-07-15,1,1140.9169982910157,1118.4731958007812
1998-07-16,1,1144.7609985351562,1119.8429956054688
1998-07-17,1,1148.7799987792969,1121.4795947265625
1998-07-20,1,1152.9524963378906,1123.2587939453124
1998-07-21,1,1156.0454956054687,1124.397392578125
1998-07-22,1,1158.2749938964844,1125.54619140625
1998-07-23,1,1158.6184936523437,1126.025390625
1998-07-24,1,1159.1944946289063,1126.4641918945313
1998-07-27,1,1159.897998046875,1127.0621923828126
1998-07-28,1,1159.485498046875,1127.492392578125
1998-07-29,1,1159.0539978027343,1127.8801928710936
1998-07-30,1,1158.7734924316405,1128.5487915039062
1998-07-31,1,1157.4859924316406,1128.5809912109376
1998-08-03,1,1155.2414916992188,1128.5369897460937
1998-08-04,1,1151.1144897460938,1127.769990234375
1998-08-05,1,1146.8669921875,1127.5181909179687
1998-08-06,1,1143.4204895019532,1127.46619140625
1998-08-07,1,1139.6764892578126,1127.3031909179688
1998-08-10,1,1135.573992919922,1127.1495922851564
1998-08-11,1,1130.143994140625,1126.7095922851563
1998-08-12,0,1125.6144897460938,1126.5295922851562
1998-08-13,0,1120.1604919433594,1126.373193359375
1998-08-14,0,1113.9604919433593,1125.7315942382813
1998-08-17,0,1108.9389953613281,1125.1277954101563
1998-08-18,0,1105.7454956054687,1124.8373950195312
1998-08-19,0,1102.4445007324218,1124.4303955078126
1998-08-20,0,1100.0369995117187,1124.0167944335938
1998-08-21,0,1097.0589965820313,1123.7499951171876
1998-08-24,0,1094.1024963378907,1123.53599609375
1998-08-25,0,1092.2329956054687,1123.8527954101562
1998-08-26,0,1090.1819946289063,1123.784794921875
1998-08-27,0,1085.163995361328,1122.49439453125
1998-08-28,0,1080.4874938964845,1120.909794921875
1998-08-31,0,1072.7294982910157,1118.0423950195313
1998-09-01,0,1068.8364990234375,1115.8633959960937
1998-09-02,0,1064.288995361328,1113.2831958007812
1998-09-03,0,1058.9204956054687,1110.2707958984374
1998-09-04,0,1053.142498779297,1107.1629956054687
1998-09-08,0,1050.158499145508,1104.9681970214845
1998-09-09,0,1047.0195007324219,1102.3223974609375
1998-09-10,0,1041.8180023193358,1099.2493981933594
1998-09-11,0,1038.5255004882813,1096.4593969726564
1998-09-14,0,1036.8739990234376,1094.1253955078125
1998-09-15,0,1034.5744995117188,1091.7323974609376
1998-09-16,0,1031.7885009765625,1089.5487963867188
1998-09-17,0,1027.8289978027344,1086.5985961914062
1998-09-18,0,1024.253500366211,1083.8291955566406
1998-09-21,0,1021.3860015869141,1081.0203967285156
1998-09-22,0,1018.4605010986328,1078.3091979980468
1998-09-23,0,1017.1225006103516,1076.0793981933593
1998-09-24,0,1015.0490020751953,1073.4375964355468
1998-09-25,0,1015.1570037841797,1070.6527966308595
1998-09-28,0,1016.2345001220704,1067.8915954589843
1998-09-29,0,1020.821499633789,1065.1899963378905
1998-09-30,0,1021.9589996337891,1062.228797607422
1998-10-01,0,1021.7545013427734,1058.6749987792969
1998-10-02,0,1022.7714996337891,1055.9319982910156
1998-10-05,0,1023.5049987792969,1052.887197265625
1998-10-06,0,1021.5614990234375,1049.6335974121093
1998-10-07,0,1019.785498046875,1046.4423974609374
1998-10-08,0,1018.747998046875,1043.1269982910155
1998-10-09,0,1017.5144989013672,1039.955799560547
1998-10-12,0,1015.9140014648438,1037.4965991210938
1998-10-13,0,1013.7699981689453,1035.143800048828
1998-10-14,0,1011.7725006103516,1033.812000732422
1998-10-15,0,1013.203500366211,1033.1331994628906
1998-10-16,0,1015.0200012207031,1032.4690002441407
1998-10-19,0,1016.9450012207031,1031.927801513672
1998-10-20,0,1018.6600036621094,1031.5436022949218
1998-10-21,0,1018.8515075683594,1031.5624035644532
1998-10-22,0,1020.6395080566406,1031.4476037597656
1998-10-23,0,1021.9355102539063,1031.362803955078
1998-10-26,0,1023.1170104980469,1031.5542028808593
1998-10-27,0,1023.9330078125,1031.1876013183594
1998-10-28,0,1026.4870056152345,1030.525401611328
